Ano,Rodada,Data,Mandante,Visitante,Gol.Mandante,Gol.Visitante,Total Gols,GP_m_20,GP_v_20,GC_m_20,GC_v_20,ShotsP_m_20,ShotsP_v_20,Elo_Dif_Abs
2019,24,10/10/19 19:15,Corinthians,Athletico-PR,2,2,4,21,27,9,19,NA,NA,2.650410763
2019,24,10/10/19 20:00,Flamengo,Atletico-MG,3,1,4,46,22,17,25,NA,NA,7.009760363
2019,25,10/12/19 19:00,Fluminense,Bahia,2,0,2,19,22,26,14,NA,NA,2.325105448
2019,25,10/12/19 17:00,Goias,CSA,1,0,1,19,14,30,29,NA,NA,0.914847779
2019,25,10/12/19 21:00,Palmeiras,Botafogo,1,0,1,31,17,19,22,NA,NA,6.004773335
2019,25,10/13/19 16:00,Athletico-PR,Flamengo,0,2,2,28,47,21,17,312,327,6.53985038
2019,25,10/13/19 19:00,Atletico-MG,Gremio,1,4,5,23,33,26,18,320,274,3.245842641
2019,25,10/13/19 16:00,Ceara,Avai,1,0,1,17,11,21,32,258,260,0.810544103
2019,25,10/13/19 19:00,Chapecoense,Cruzeiro,1,1,2,14,13,34,25,255,266,2.040149999
2019,25,10/13/19 16:00,Internacional,Santos,0,0,0,24,29,18,21,252,293,1.200100314
2019,25,10/13/19 18:00,Sao Paulo,Corinthians,1,0,1,20,23,17,11,266,242,0.187363725
2019,25,10/13/19 16:00,Vasco,Fortaleza,1,0,1,18,25,20,26,289,227,0.831849593
2019,26,10/16/19 21:00,Cruzeiro,Sao Paulo,1,0,1,13,21,22,17,280,272,4.039340965
2019,26,10/16/19 19:15,CSA,Atletico-MG,2,2,4,14,22,28,29,227,331,0.707429537
2019,26,10/16/19 20:00,Fortaleza,Flamengo,1,2,3,22,48,26,15,222,312,8.806839493
2019,26,10/16/19 21:30,Goias,Corinthians,2,2,4,19,21,30,12,242,241,2.153868666
2019,26,10/16/19 19:15,Gremio,Bahia,0,1,1,36,22,17,16,271,243,2.479837139
